phase,word,video1,video2,video3,video4
learning,1,lift_L_dog1_high,lift_R_butterfly1_high,turn_R_butterfly2_high,turn_L_dog2_high
learning,2,lift_L_pine1_high,turn_R_lily1_high,lift_R_lily2_high,turn_L_pine2_high
learning,3,turn_R_violin1_high,turn_L_saxophone1_high,lift_L_saxophone2_high,lift_R_violin2_high
learning,4,turn_R_tshirt1_high,lift_L_jeans1_high,turn_L_jeans2_high,lift_R_tshirt2_high
learning,5,turn_R_pepper1_high,turn_R_steak1_high,lift_L_steak2_high,lift_L_pepper2_high
learning,6,turn_R_sofa1_high,lift_L_shelf1_high,turn_R_shelf2_high,lift_L_sofa2_high
learning,7,lift_R_scissors1_high,lift_R_shovel1_high,turn_L_shovel2_high,turn_L_scissors2_high
learning,8,lift_R_car1_high,turn_L_bus1_high,lift_R_bus2_high,turn_L_car2_high
